6745698	गोपालपुर आपदा तमिलनाडु प्रदेश निकाला इलाकों मौसम तीनों चेतावनी प्रचंड अभियान विभाग मंडल बंगाल तूफान चक्रवात विज्ञान किलोमीटर तटों अधिकारी नयागढ़ गजपति चक्रवार्थी निदेशक भद्रक बालासोर इमारतों पड़ने घंटा मोड़ने जगतसिंहपुर दक्षिण मयूरभंज उड़ीसा पहुंचेगा हिंदी चक्रवाती पश्चिम सुरक्षित सेनाओं भारद्वाज आयुक्त राहत निकालकर आंध्र चपेट कांग्रेसी निशा दस्तक जाजपुर जाया कंचन स्थानों गंजम केंद्रों अलर्ट केंद्रपाड़ा खुरदा तटीय भारतीय पुरी पूर्वी रफ्तार ओडीशा ताजा 1100000 कॉलेजों नमस्कार अत्यधिक जिले	
6745728	तैनात निर्देश इलाकों मौसम एनडीआरएफ गंवाई विभाग लाखों सीमा तूफान नंबर संवाददाता साबित किलोमीटर खतरा तरीके राज्य हेल्पलाइन खतरे लगातार तकरीबन तूतिया वक्त मोदी बढ़ता नरेंद्र वेदर ओडिशा सेना उड़ीसा सरकार चक्रवाती रद्द सुरक्षित तबाही निबंध टीमें राहत पूर्वानुमान तेजी चपेट प्रधानमंत्री मंत्रालय केंद्र निपटने अपडेट कोलकाता एयरपोर्ट भयानक तादात हजारों सुपर बैठक हालात अलर्ट समुद्र पहुंचाया 1999 साइक्लोन तटीय इसीलिए जनों मंजर बचाव संभाला रफ्तार केंद्रित सांसे छुट्टी मेडिकल मोर्चा कॉलेजों अधिकारियों ओडिसा जिले गांव	
6745977	यह फैसला भारत के पोजीशन के अनुकूल और जानकारी भारत ने मसूद अजहर के के बारे में और जैसे मोहम्मद के बारे में जो संक्षिप्त कमेटी के सारे सदस्यों को सदस्यों को दिया था उसके अनुरूप था जो फैसला होगा जो भारत अंतरराष्ट्रीय मंचों से और उसके माध्यम से अपने इन प्रयासों को जारी रखेगा ताकि यह सुनिश्चित किया जा सके कि आतंकवादी संगठन और उनके सरगना उनके जो नेता है जो हमारे नागरिक को नुकसान पहुंचाते हैं उनके खिलाफ एक्शन लिया जा सके || कल हमारा हमारी पृथ्वी प्रतिक्रिया जो थी जो हमने कल रात आप सबके साथ साझा की थी उसमें हम ने यह कहा था कि हम संयुक्त सुरक्षा परिषद का जो सांसद कमेटी एवं प्रशिक्षण उनके डिसीजन का उनके फैसले का स्वागत करते हैं बहुत ही महत्वपूर्ण फैसला था यह फैसला भारत के पोजीशन के अनुकूल || और जो जानकारी भारत ने मसूद अजहर के के बारे में और जैश ए मोहम्मद के बारे में जो संक्षिप्त कमेटी के सारे सदस्यों को सदस्यों को दिया था वह उसके अनुरूप था जो फैसला दूसरा हमने यह भी कहा कि यह जो फैसला हुआ यह सही दिशा में एक कदम भी था जो आतंकवाद और इसके समर्थक के खिलाफ लड़ने के लिए जो एक अंतरराष्ट्रीय समुदाय के संकल्प को प्रदर्शित करता है जो इंटरनेशनल है वह दर्शाता है || हम यह भी कहना चाहेंगे कि जो भारत अंतरराष्ट्रीय मंचों से और उसके माध्यम से ||  अपने इन प्रयासों को जारी रखेगा ताकि यह सुनिश्चित किया जा सके कि आतंकवादी संगठन और उनके सरगना उनके जो नेता है जो हमारे नागरिक को नुकसान पहुंचाते हैं उनके खिलाफ एक्शन लिया जा सके || 	
6746003	हिमेश बातें तो 75 किलोमीटर प्रति घंटे की रफ्तार से चल रही है हवाएं तूफान के साथ समंदर की लहरें बेकरी के पास गोपालपुर में भी तूफान का असर हो रही है जबरदस्त बाली और बालासोर में चल रही है ||  गुर्जर गोपालपुर से गुजरता हुआ उत्तर पूर्व की तरह बढ़ जाएगा तूफान करीब 3 घंटे तक बारिश से डेढ़ लाख लोगों को हटाया गया तथा इलाकों में रहने वाले लोगों के अक्षर ||  तूफान से उड़ीसा में सबसे ज्यादा खतरे की आशंका मौसम विभाग ने जारी किया और एंजेला में 11 जिलों में तूफान आ सकता है तब तक हो रही है बारिश तूफानी हवाओं ने बनाया था और इसके अलावा आंध्र प्रदेश और बंगाल बिहार और झारखंड उत्तर प्रदेश में व्यापारी लोगों को दुकान से निपटने के लिए राज्य और केंद्र सरकार ने तैयारियां भी 50 से ऊपर ||  द इलाकों में रहने वाले लोगों को ||  भूमि शादी हो रही है बारिश चल रही है तेज हवाएं बाल और तूफान के साथ बारिश तीन मंजिला मकान ||  रायबरेली सीट पर बनाने के लिए प्रियंका का ताबड़तोड़ पचारा सुबह 11:00 बजे रोड शो गुरुवार को भी रायबरेली में प्रथम उन्हें सकते हैं जिन्होंने आप फिर झूठे वादे किए कांग्रेस ने चखा गांधी का बड़ा बयान कहां मर जाऊंगी लेकिन विनाशक विचारधारा से समझौता नहीं करते ||  रायबरेली में आज प्रियंका और योगी की सरकार पार्टी प्रत्याशी के लिए || 	
6746138	पैदा ही कांग्रेसी जहां पर भी उम्मीदवार बीजेपी की मजबूती से लड़ रहे हैं और बीजेपी का ही नुकसान होगा इससे जो प्रियंका गांधी आज यह दावा कर रही है कि यूपी में कांग्रेस के उम्मीदवार सिर्फ बीजेपी को ही नुकसान पहुंच जाएंगे वह कल आज तक को दिए इंटरव्यू में दावा कर रही थी 24 बार या तो महागठबंधन और बीजेपी के उम्मीदवारों को हर आएंगे या फिर बीजेपी के वोट काटेंगे मैंने 11 चुन चुन कर आती सर्च करिए मैंने किया ऐसे बीजेपी को 100% या मेरा उम्मीदवार जीतेगा या बीजेपी का वोट 24 घंटे के अंदर अंदर प्रियंका गांधी को अपने बयान में एसपी बीएसपी को नुकसान वाली बातें || लेकिन अखिलेश यादव को प्रियंका की बात की गई तो बीजेपी और कांग्रेस में कोई अंतर नजर आना भी बंद हो गया बीजेपी बीजेपी कांग्रेस पार्टी गठबंधन अखिलेश यादव कुछ दिन पहले तक यह कहते हुए सुना जा रहे थे कि उनको कांग्रेस से कोई खतरा नहीं है वह अखिलेश यादव अब यह बात मानने को तैयार नहीं है कि कांग्रेस ने बीजेपी के वोट काटने के लिए कमजोर उम्मीदवार मैदान में उतारे हैं लेकिन कांग्रेस उम्मीदवार कितने ताकतवर है इसका अंदाजा मायावती को भी हो रहा है || चुनाव जीत जाएं सपा बसपा गठबंधन के उम्मीदवार उम्मीदवार बीजेपी को फायदा पहुंचाने के लिए ही अपने उम्मीदवार भी खड़े किए हैं ये नुकसान दे पाया अब उनके लिए जो बीजेपी है वही कांग्रेस है और जो कांग्रेस है वहीं बीजेपी प्रियंका गांधी सफाई देती रही जान चली जाएगी लेकिन मैं बीजेपी जैसी विश्व विनाशक विचारधारा के साथ कभी भी समझौता नहीं कर सकती कभी भी मेरी आंखों में देखो एसपी बीएसपी गठबंधन के दिल में कांग्रेस के प्रति जो सॉफ्ट कॉर्नर था वह सिक्योरिटी सिक्योरिटी खत्म हो चुका है वरना ना तो राहुल गांधी बकायदा अखिलेश और मायावती को लेकर इतनी बड़ी बात कहते खिलेश यादव इतना करारा जवाब देते || मायावती और नरेंद्र मोदी जी के हाथ प्रभाव नहीं डालता है || 	
6746241	आगरा की दरगाह मर कर दे सांवरे कौन सी फिल्म अभिनेत्री डिस्टर्ब चादर पोशी का रिश्ता भट्ट ने चैन और अमन की दुआएं मांगी हमने बनी हुई है मरकरी बता दे कहां पर 420 साथ सालाना 531 जस्ट चल रहा है और इसके साथ ही तमाम लोगों का आना-जाना भी लगा हुआ है ||  खबर में बस इतना ही || 	
6746482	भाजपा का कार्यकर्ता या महिला जो मेरे खिलाफ खड़ा हो सकता हूं लेकिन तुम को कहा फोन रख लिए बेस्ट कहना कि नहीं हो तो क्या-क्या योजना चाहती है याद रखना चाहते हैं क्योंकि || अर्जुन जी गुर्जर चलती है कोई भ्रष्टाचार का आरोप लगाया || 	
6746513	शिक्षा पोर्टल नगर इलाके से श्राप लगा कर गिरफ्तार किया दरअसल बदमाश शेख आसिफ अली ने अपने एक दोस्त के साथ बिजनेस शुरू किया तो टीवी ने अपनी की दो सब इंस्पेक्टर की बेटी का 30 दिसंबर को गोली मारकर हत्या कर दी जिसके बाद से फरार चल रहा था लंबे समय से फरार होने की वजह से कोर्ट ने भगोड़ा घोषित की तलाश कर रही थी आखिर पुलिस पूछताछ कर रही है कहां कहां पर सक्रिय था यह पता लगाने की कोशिश कर रही है पुलिस केस के पास से एक का स्तर और कुछ कारतूस बरामद || 	
6746509	भारत के पूर्वी तट से टकराया पूरी तूफान और सा के पूर्वी तट पर तेज बारिश और तूफान की तक आने के साथ समंदर की लहरें बेकाबू करीब 9 मीटर ऊंची लहरें उठने का अनुमान ||  पुरी के पास गोपालपुर में भी तूफान का असर हो रही है और बाली और गोपालपुर से गुजरता हुआ उत्तर पूर्व की तरफ बढ़ जाएगा तूफान करीब 3 घंटे तक बारिश सबसे ज्यादा तक डेढ़ लाख लोगों को इलाकों में रहने वाले लोगों को किया गया ||  गंजाम जिले से 300000 लोग हटाए गए तूफान की वजह से जबरदस्त बरसात के अंदर पहुंचा क्या ||  जम्मू कश्मीर के शोपियां में आतंकियों का एनकाउंटर दो आतंकी ढेर ||  भोपाल में दिग्विजय सिंह का शादी प्रज्ञा पर हमला शादी को कहां गूंगी गुड़िया कुत्ता क्या-क्या किया संबोधित राहुल गांधी के अमित शाह को हत्या का आरोपी कहने वाले बयान पर आयोग में अपराध चरम रोग बयान पर राहत ||  यूपी के बाबर की औलाद वाले बयान पर चुनाव आयोग का नोटिस 24 घंटे में जवाब तलब रायबरेली परिवार को भी रायबरेली में प्रियंका नहीं है मां के लिए मांगे वोट पर तूने गांधी भी रहे मौजूद आ सकते हैं जिन्होंने आपसे झूठे वादे किए ||  लखनऊ से 35 भी प्रचार की लड़ाई आज से हुई || 	
6746532	सीबीएसई बोर्ड 12वीं के नतीजे घोषित हो चुके हैं देशभर में टॉप करने वालों में पहले नंबर पर लड़कियां है जो लड़कियों को सामान अंक मिले हैं गाजियाबाद की अंशिका और मुजफ्फरनगर की कश्मीरा अरोड़ा ने 499 नंबर हासिल किए हैं खास बात यह है कि बोर्ड टॉप करने वाले कश्मीरा एक कत्थक डांसर है कश्मीरा नित्य के खेत में ही नाम कमाना चाहती हैं कश्मीरा के पिता मनोज अरोड़ा ने बताया कि कश्मीरा को सांस्कृतिक मंत्रालय से स्कॉलरशिप मिल रही है कश्मीरा एसडी पब्लिक स्कूल मुजफ्फरनगर की छात्रा है कश्मीरा ने दसवीं की परीक्षा में 10 सीजीपीए हासिल किए थे पशमीना की बहन भूमि का रोड़ा डी यू से बीकॉम कर रही है || मीका ने भी 12वीं की परीक्षा में 97% नंबर हासिल किए थे हां मोनिका अरोड़ा का कहना है कि हमारी तो दो बेटियां ही हजारों लड़कों से बेहतर है कश्मीर के पिता व्यापार करते हैं उनका कहना है कि टॉपर होने के बाद भी यह कोई जरूरी नहीं है कि कश्मीरा आगे चलकर मेडिकल इंजीनियरिंग ही करेगी वह कथक डांसर के क्षेत्र में नहीं विदेश में भी नाम कमाना चाहती है 30 अप्रैल को ही उसने एक प्रतियोगिता में हिस्सा लेकर इनाम जीता था करिश्मा यूपी संगीत नाटक अकादमी से भी पुरस्कार जीत चुकी है चौराहा || 	
